PK,SK,DESCRIPTION
BLACKLIST_URL,https://t-mobile.miqa.cc/WlKLwe7N/?requestId=a3SFMBIoav&order=EMOjnKJU,OpenPhish
BLACKLIST_URL,https://t-mobile.miqa.cc/WlKLwe7N/?nonce=Ml0lZnSMh&page=noJetmAgvE,OpenPhish
BLACKLIST_URL,https://t-mobile.miqa.cc/WlKLwe7N/?cacheBuster=9cf1YbWNe&query=G33I9qLRb,OpenPhish
BLACKLIST_URL,https://finndmaps-onlcloud.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://suporttmlx-accesidl.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://t-mobile.vhuw.cc/pNdhs0Ab/?LGOL=TBqZfq,OpenPhish
BLACKLIST_URL,https://ats.brndnsia.com/,OpenPhish
BLACKLIST_URL,https://t-mobile.miqw.cc/p2j3AJYy/?page=weOFztNnL&session=wNMFFlQDK,OpenPhish
BLACKLIST_URL,https://t-mobile.miqy.cc/XCIF4irC/?random=eZgLH7hTh&size=eys3p6816,OpenPhish
BLACKLIST_URL,http://encotrar-idispositivo.us/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://ns2.digitalservicesf3a.pro/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://imapsweb-ext1007.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://t-mobile.miqr.cc/qV8aHXwX/?auth=WLaSJgeJSw&sort=x2lDA6siOZ,OpenPhish
BLACKLIST_URL,https://t-mobile.voirecsi.cc/IGkylvMQ/,OpenPhish
BLACKLIST_URL,https://t-mobile.vhuq.cc/uPQe9bwh/?MNRP=xlJdjT,OpenPhish
BLACKLIST_URL,http://www.kuponundian2026.fectget.my.id/,OpenPhish
BLACKLIST_URL,http://findmyidevicego.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://findmy-mapas-soporte.com/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://qucoinlog-in.webflow.io/,OpenPhish
BLACKLIST_URL,https://www.robiox.com.py/users/382074435897/profile,OpenPhish
BLACKLIST_URL,http://blockmydeviceweb.online/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,http://ubicar-lphonc.help/iniciarNewesp.php,OpenPhish
BLACKLIST_URL,https://century.com.ng/docusign/,OpenPhish
BLACKLIST_URL,https://darb.qmobilitpxc.com/,OpenPhish
